Date,Date_raw,Weight,Nutrition,Exercise,Sleep,Hygiene,Food
,nan,,,,,,
,nan,,,,,,
,45909.0,,Cod Liver Oil,60 Bicep Curls,,,
,nan,,Black Coffee,60 Shoulder Press,,,
,nan,,,60 Lateral Raises,,,
,nan,,,60 Single Arm Row,,,
,nan,,,60 Kettle Twists,,,
,nan,,,60 Kettle Swings,,,
,45900.0,131.0,Electrolyte Drink,100 Bicep Curls,08:30:00,Bath,
,nan,,Cod Liver Oil,100 Shoulder Press,,,
,nan,,Black Coffee,60 Lateral Raises,,,
,nan,,60 Almonds,60 Single Arm Row,,,
2025-10-18,45948,129.4,Electrolyte Drink,,11:00:00,,
,45949.0,129.4,,60 Bicep Curls,10:00:00,Brush,3 Electrolyte Drink
,nan,,,60 Shoulder Press,22:30:00,Bath,2 Black Coffee
,nan,,,60 Lateral Raises,,,Cod Liver Oil
,nan,,,60 Single Arm Row,,,60 Almonds
,nan,,,60 Kettle Twists,,,Spinach
,nan,,,60 Kettle Swings,,,Chicken Biryani
,nan,,,10000 steps,,,Yogurt
,45950.0,129.2,,60 Bicep Curls,,,2 Electrolyte Drink
,nan,,,60 Shoulder Press,,,Black Coffee
,nan,,,,,,40 Almonds
,nan,,,20 Kettle Twists,,,Chicken Biryani
,45893.0,129.6,Black Coffee,100 Bicep Curls,08:25:00,Brush,
,nan,,2 Electrolyte Drink,100 Shoulder Press,,Bath,
,nan,,Cod Liver Oil,60 Lateral Raises,,,
,nan,,30 Almonds,,,,
,45890.0,132.6,2 Black Coffee,100 Bicep Curls,07:45:00,Brush,
,nan,,25 Almonds,60 Single Arm Row,,,
,nan,,Spinach,60 Kettle Twists,,,
,nan,,Chicken Gravy,60 Kettle Swings,,,
,nan,,Potato Cutlet,,,,
,nan,,7up zero,,,,
,nan,,Vitamin water,,,,
,nan,,2 Veggie Protein Crunch,,,,
,nan,,Kulfi,,,,
,45921.0,,Electrolyte Drink,60,,,
,nan,,Black Coffee,60,,,
,45942.0,128.8,Electrolyte Drink,60 Bicep Curls,09:00:00,,
,nan,,Cod Liver Oil,20 Lateral Raises,,,
,nan,,2 Actimel,,,,
,45901.0,132.0,2 Black Coffee,60 Bicep Curls,08:30:00,,
,nan,,3 Electrolyte Drink,60 Shoulder Press,22:30:00,,
,nan,,Cod Liver Oil,60 Single Arm Row,,,
,nan,,Spinach,60 Lateral Raises,,,
,nan,,80 Almonds,60 Kettle Twists,,,
,nan,,Chicken Achar Gohst,60 Kettle Swings,,,
,nan,,,10000 steps,,,
,45902.0,131.2,2 Black Coffee,60 Bicep Curls,09:30:00,,
,nan,,3 Electrolyte Drink,60 Shoulder Press,22:00:00,,
,nan,,50 Almonds,60 Kettle Twists,,,
,nan,,Radish Paratha,10000 steps,,,
,45903.0,130.0,2 Black Coffee,60 Bicep Curls,08:00:00,,
,nan,,3 Electrolyte Drink,60 Shoulder Press,23:00:00,,
,45904.0,128.6,2 Black Coffee,60 Bicep Curls,07:30:00,,
,nan,,3 Electrolyte Drink,60 Shoulder Press,,,
,nan,,30 Almonds,60 Kettle Twists,,,
,nan,,Rice,,,,
,45905.0,131.6,2 Black Coffee,60 Bicep Curls,,,
,nan,,60 Almonds,60 Kettle Twists,,,
,nan,,Chicken Karahi,60 Kettle Swings,,,
,nan,,,6000 Steps,,,
,45906.0,131.0,2 Black Coffee,60 Bicep Curls,,,
,nan,,Spinach,40 Shoulder Press,,,
,nan,,3 almonds,6000 steps,,,
,nan,,Chicken Karahi,,,,
,45907.0,130.0,2 Black Coffee,60 Bicep Curls,07:00:00,,
,nan,,2 Electrolyte Drink,60 Shoulder Press,,,
2025-11-25,45986,,Electrolyte Drink,20 Lateral Raises,,,
,45925.0,128.6,2 Electrolyte Drink,60 Bicep Curls,,,
,nan,,2 Black Coffee,60 Shoulder Press,,,
,nan,,20 Almonds,60 Single Arm Row,,,
,nan,,Sindhi Chicken Biryani,60 Kettle Twists,,,
,nan,,Vitamin Water Drink,60 Kettle Swings,,,
,nan,,Protein Veggie Crunch,,,,
,nan,,Club Tropical,,,,
,nan,,Protein Bar,,,,
,nan,,,,,,
,nan,,,,,,
,nan,,,,,,
,nan,,,,,,
,nan,,,,,,
,nan,,,,,,
,nan,,,,,,
,nan,,,,,,
,nan,,,,,,
,nan,,,,,,
,nan,,,,,,
,nan,,,,,,
,nan,,,,,,
,nan,,,,,,
,nan,,,,,,
,nan,,,,,,
,nan,,,,,,
,45927.0,129.2,Electrolyte Drink,60 Bicep Curls,,,
,nan,,Cod Liver Oil,60 Shoulder Press,,,
,nan,,Chicken Gravy,20 Kettle Twists,,,
2025-09-27,45927,,,,,,
,45962.0,130.0,,120 Bicep Curls,10:00:00,,
,nan,,,120 Shoulder Press,,,
,45877.0,129.4,2 Electrolyte Drink,,,,
,nan,,75 Almonds,,,,
,nan,,Black Coffee,,,,
,45975.0,133.2,2 Electrolyte Drink,120 Bicep Curls,08:30:00,,
,nan,,Cod Liver Oil,120 Shoulder Press,,,
,nan,,2 Black Coffee,60 Lateral Raises,,,
,nan,,76 Almonds,60 Single Arm Row,,,
,nan,,Chicken Gravy,60 Kettle Twists,,,
,nan,,Spinach,60 Kettle Swings,,,
2025-11-14,45975,,,,,,
,45966.0,,Electrolyte Drink,120 Bicep Curls,09:00:00,,
,nan,,,40 Single Arm Row,,,
,45899.0,130.6,Electrolyte Drink,100 Bicep Curls,09:00:00,,
,nan,,Black Coffee,60 Single Arm Row,,,
,nan,,50 Almonds,100 Kettle Twists,,,
,nan,,Chicken Achar Gohst,40 Kettle Swings,,,
,45947.0,129.0,Electrolyte Drink,,10:30:00,,
,nan,,Spinach,,,,
,nan,,Cod Liver Oil,,,,
,nan,,,,,,
,nan,,,,,,
,nan,,,,,,
,nan,,,,,,
,nan,,,,,,
,45852.0,132.8,4L water,100 Bicep Curls,,,
,nan,,2 Electrolyte Drink,,,,
,nan,,Cod Liver Oil,,,,
,nan,,20 Pumpkin Seed,,,,
,nan,,20 Almonds,,,,
